Sentence,Labels,POS,Words
যারা পরিশ্রম করে তারা জীবনে সফল হয়,Complex,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['যারা', 'পরিশ্রম', 'করে', 'তারা', 'জীবনে', 'সফল', 'হয়']"
কাজ করলে জীবনে সফল হয়,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['কাজ', 'করলে', 'জীবনে', 'সফল', 'হয়']"
কাজ কর এবং জীবনে সফল হও,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['কাজ', 'কর', 'এবং', 'জীবনে', 'সফল', 'হও']"
যারা কাজ করে তারা জীবনে সফল হয়,Complex,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['যারা', 'কাজ', 'করে', 'তারা', 'জীবনে', 'সফল', 'হয়']"
তুমি চেষ্টা না করায় ব্যর্থ হয়েছ,Simple,"['সর্বনাম', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'বিশেষণ', 'ক্রিয়া']","['তুমি', 'চেষ্টা', 'না', 'করায়', 'ব্যর্থ', 'হয়েছ']"
তুমি চেষ্টা করােনি তাই ব্যর্থ হয়েছ,Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['তুমি', 'চেষ্টা', 'করােনি', 'তাই', 'ব্যর্থ', 'হয়েছ']"
"যেহেতু তুমি চেষ্টা করােনি, তাই ব্যর্থ হয়েছ।",Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['যেহেতু', 'তুমি', 'চেষ্টা', 'করােনি', 'তাই', 'ব্যর্থ', 'হয়েছ।']"
দুর্জন লােক পরিত্যাজ্য,Simple,"['বিশেষণ', 'বিশেষ্য', 'বিশেষণ']","['দুর্জন', 'লােক', 'পরিত্যাজ্য']"
দুর্জন লোক কিন্তু পরিত্যাজ্য,Compound,"['বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'বিশেষণ']","['দুর্জন', 'লোক', 'কিন্তু', 'পরিত্যাজ্য']"
"যেসব লােক দুর্জন, তারা পরিত্যাজ্য",Complex,"['সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'সর্বনাম', 'বিশেষণ']","['যেসব', 'লােক', 'দুর্জন', 'তারা', 'পরিত্যাজ্য']"
খারাপ লােক পরিত্যাজ্য,Simple,"['বিশেষণ', 'বিশেষ্য', 'বিশেষণ']","['খারাপ', 'লােক', 'পরিত্যাজ্য']"
খারাপ লোক কিন্তু পরিত্যাজ্য,Compound,"['বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'বিশেষণ']","['খারাপ', 'লোক', 'কিন্তু', 'পরিত্যাজ্য']"
"যেসব লােক খারাপ, তারা পরিত্যাজ্য",Complex,"['সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'সর্বনাম', 'বিশেষণ']","['যেসব', 'লােক', 'খারাপ', 'তারা', 'পরিত্যাজ্য']"
সুসংবাদটা পেয়ে সে আনন্দিত হলাে,Simple,"['বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['সুসংবাদটা', 'পেয়ে', 'সে', 'আনন্দিত', 'হলাে']"
"যখন সে সুসংবাদটা পেল, তখন সে আনন্দিত হলাে",Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['যখন', 'সে', 'সুসংবাদটা', 'পেল', 'তখন', 'সে', 'আনন্দিত', 'হলাে']"
সুসংবাদটা পাওয়া স্বত্তেও সে কান্না করলো,Simple,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['সুসংবাদটা', 'পাওয়া', 'স্বত্তেও', 'সে', 'কান্না', 'করলো']"
সে সুসংবাদটা পেল এবং কান্না করলো,Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['সে', 'সুসংবাদটা', 'পেল', 'এবং', 'কান্না', 'করলো']"
"যখন সে সুসংবাদটা পেল, তখন সে কান্না করলো",Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'সে', 'সুসংবাদটা', 'পেল', 'তখন', 'সে', 'কান্না', 'করলো']"
বন্দুক থাকলে মোকাবিলা করা যেত,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['বন্দুক', 'থাকলে', 'মোকাবিলা', 'করা', 'যেত']"
বন্দুক থাকত এবং মোকাবিলা করা যেত,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['বন্দুক', 'থাকত', 'এবং', 'মোকাবিলা', 'করা', 'যেত']"
যদি বন্দুক থাকত তবে মোকাবিলা করা যেত,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যদি', 'বন্দুক', 'থাকত', 'তবে', 'মোকাবিলা', 'করা', 'যেত']"
বন্দুক না থাকা স্বত্তেও মোকাবিলা করেছে,Simple,"['বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['বন্দুক', 'না', 'থাকা', 'স্বত্তেও', 'মোকাবিলা', 'করেছে']"
বন্দুক ছিলোনা কিন্তু মোকাবিলা করেছে,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['বন্দুক', 'ছিলোনা', 'কিন্তু', 'মোকাবিলা', 'করেছে']"
যদিও বন্দুক ছিলোনা তবুও মোকাবিলা করেছে,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['যদিও', 'বন্দুক', 'ছিলোনা', 'তবুও', 'মোকাবিলা', 'করেছে']"
ছেলেটি গরিব হলেও মেধাবী,Simple,"['বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'বিশেষণ']","['ছেলেটি', 'গরিব', 'হলেও', 'মেধাবী']"
ছেলেটি গরিব কিন্তু মেধাবী,Compound,"['বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'বিশেষণ']","['ছেলেটি', 'গরিব', 'কিন্তু', 'মেধাবী']"
যে ছেলেটি গরিব সে মেধাবী,Complex,"['সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'সর্বনাম', 'বিশেষণ']","['যে', 'ছেলেটি', 'গরিব', 'সে', 'মেধাবী']"
দোষ করলে শাস্তি পাবে,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['দোষ', 'করলে', 'শাস্তি', 'পাবে']"
দোষ করেছে অতএব শাস্তি পাবে,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['দোষ', 'করেছে', 'অতএব', 'শাস্তি', 'পাবে']"
যে দোষ করেছে সে শাস্তি পাবে,Complex,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['যে', 'দোষ', 'করেছে', 'সে', 'শাস্তি', 'পাবে']"
সত্য কথা স্বীকার না করিলে শাস্তি পাইবে,Simple,"['বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['সত্য', 'কথা', 'স্বীকার', 'না', 'করিলে', 'শাস্তি', 'পাইবে']"
সত্য কথা স্বীকার কর নতুবা শাস্তি পাইবে,Compound,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['সত্য', 'কথা', 'স্বীকার', 'কর', 'নতুবা', 'শাস্তি', 'পাইবে']"
যদি সত্য কথা স্বীকার না কর তবে শাস্তি পাইবে,Complex,"['অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['যদি', 'সত্য', 'কথা', 'স্বীকার', 'না', 'কর', 'তবে', 'শাস্তি', 'পাইবে']"
সে আসলেই আমি যাব,Simple,"['সর্বনাম', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া']","['সে', 'আসলেই', 'আমি', 'যাব']"
সে আসবে এবং আমি যাবো,Compound,"['সর্বনাম', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া']","['সে', 'আসবে', 'এবং', 'আমি', 'যাবো']"
যদি সে আসে তবে আমি যাব,Complex,"['অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া']","['যদি', 'সে', 'আসে', 'তবে', 'আমি', 'যাব']"
স্যার আসলেই আমি যাব,Simple,"['বিশেষ্য', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া']","['স্যার', 'আসলেই', 'আমি', 'যাব']"
সময়ে ডাক্তার আসলে রোগী মারা যেত না,Simple,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়']","['সময়ে', 'ডাক্তার', 'আসলে', 'রোগী', 'মারা', 'যেত', 'না']"
সময়ে ডাক্তার আসার কারনে রোগী বেঁচে যায়,Simple,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['সময়ে', 'ডাক্তার', 'আসার', 'কারনে', 'রোগী', 'বেঁচে', 'যায়']"
তিনি ধনী হয়েও সুখী ছিলেন না,Simple,"['সর্বনাম', 'বিশেষণ', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়']","['তিনি', 'ধনী', 'হয়েও', 'সুখী', 'ছিলেন', 'না']"
দরিদ্র হওয়া সত্বেও তিনি অসৎ নন,Simple,"['বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['দরিদ্র', 'হওয়া', 'সত্বেও', 'তিনি', 'অসৎ', 'নন']"
স্যার আসবে এবং আমি যাবো,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া']","['স্যার', 'আসবে', 'এবং', 'আমি', 'যাবো']"
সময়ে ডাক্তার আসলে তবে রোগী মারা যেত না,Compound,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়']","['সময়ে', 'ডাক্তার', 'আসলে', 'তবে', 'রোগী', 'মারা', 'যেত', 'না']"
সময়ে ডাক্তার আসলো এবং রোগী বেঁচে যায়,Compound,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['সময়ে', 'ডাক্তার', 'আসলো', 'এবং', 'রোগী', 'বেঁচে', 'যায়']"
"তিনি ধনী ছিলেন,কিন্তু সুখী ছিলেন না",Compound,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়']","['তিনি', 'ধনী', 'ছিলেন', 'কিন্তু', 'সুখী', 'ছিলেন', 'না']"
"তিনি দরিদ্র,কিন্তু অসৎ নন",Compound,"['সর্বনাম', 'বিশেষণ', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['তিনি', 'দরিদ্র', 'কিন্তু', 'অসৎ', 'নন']"
যদি স্যার আসে তবে আমি যাব,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া']","['যদি', 'স্যার', 'আসে', 'তবে', 'আমি', 'যাব']"
যদি সময়ে ডাক্তার আসত তবে রোগী মারা যেত না,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়']","['যদি', 'সময়ে', 'ডাক্তার', 'আসত', 'তবে', 'রোগী', 'মারা', 'যেত', 'না']"
যেহেতু সময়ে ডাক্তার আসলো সেহেতু রোগী বেঁচে যায়,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যেহেতু', 'সময়ে', 'ডাক্তার', 'আসলো', 'সেহেতু', 'রোগী', 'বেঁচে', 'যায়']"
যে ধনী ছিলেন সে সুখী না,Complex,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'সর্বনাম', 'বিশেষণ', 'অব্যয়']","['যে', 'ধনী', 'ছিলেন', 'সে', 'সুখী', 'না']"
যে দরিদ্র সে অসৎ না,Complex,"['সর্বনাম', 'বিশেষণ', 'সর্বনাম', 'বিশেষণ', 'অব্যয়']","['যে', 'দরিদ্র', 'সে', 'অসৎ', 'না']"
এ সংসারে কোন দরকারি কাজে আমার হাত ছিল না,Simple,"['সর্বনাম', 'অব্যয়', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়']","['এ', 'সংসারে', 'কোন', 'দরকারি', 'কাজে', 'আমার', 'হাত', 'ছিল', 'না']"
ভিক্ষুককে টাকা দাও,Simple,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['ভিক্ষুককে', 'টাকা', 'দাও']"
সে এখানে এসে সব কথা খুলে বলল,Simple,"['সর্বনাম', 'অব্যয়', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['সে', 'এখানে', 'এসে', 'সব', 'কথা', 'খুলে', 'বলল']"
লােকটি অশিক্ষিত হলেও অভদ্র নয়,Simple,"['বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['লােকটি', 'অশিক্ষিত', 'হলেও', 'অভদ্র', 'নয়']"
বিপদ আসলে দুঃখও আসে,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['বিপদ', 'আসলে', 'দুঃখও', 'আসে']"
মেঘ ডাকলে কৈ মাছ উঠে,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['মেঘ', 'ডাকলে', 'কৈ', 'মাছ', 'উঠে']"
"এ সংসারে যে কাজ দরকারি,তাতে আমার কোন হাত ছিল না",Complex,"['সর্বনাম', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়']","['এ', 'সংসারে', 'যে', 'কাজ', 'দরকারি', 'তাতে', 'আমার', 'কোন', 'হাত', 'ছিল', 'না']"
যারা ভিক্ষা করবে তাদের টাকা দাও,Complex,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['যারা', 'ভিক্ষা', 'করবে', 'তাদের', 'টাকা', 'দাও']"
যখন সে এখানে এলো তখন সব কথা খুলে বলল,Complex,"['অব্যয়', 'সর্বনাম', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'সে', 'এখানে', 'এলো', 'তখন', 'সব', 'কথা', 'খুলে', 'বলল']"
যে লোকটি অশিক্ষিত সে অভদ্র নয়,Complex,"['সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['যে', 'লোকটি', 'অশিক্ষিত', 'সে', 'অভদ্র', 'নয়']"
"যখন বিপদ আসে, তখন দুঃখও আসে",Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'বিপদ', 'আসে', 'তখন', 'দুঃখও', 'আসে']"
যেহেতু মেঘ ডাকে তাই কৈ মাছ উঠে,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['যেহেতু', 'মেঘ', 'ডাকে', 'তাই', 'কৈ', 'মাছ', 'উঠে']"
"এ সংসারে যে কাজ দরকারি,তাতে আমার কোন হাত ছিল না।",Compound,"['সর্বনাম', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়']","['এ', 'সংসারে', 'যে', 'কাজ', 'দরকারি', 'তাতে', 'আমার', 'কোন', 'হাত', 'ছিল', 'না।']"
"কিছু লােক ভিক্ষা করে, ওদের টাকা দাও",Compound,"['বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['কিছু', 'লােক', 'ভিক্ষা', 'করে', 'ওদের', 'টাকা', 'দাও']"
সে এখানে এল এবং সব কথা খুলে বলল,Compound,"['সর্বনাম', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['সে', 'এখানে', 'এল', 'এবং', 'সব', 'কথা', 'খুলে', 'বলল']"
"লােকটি অশিক্ষিত, কিন্তু অভদ্র নয়",Compound,"['বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['লােকটি', 'অশিক্ষিত', 'কিন্তু', 'অভদ্র', 'নয়']"
বিপদ ও দুঃখ একসঙ্গে আসে,Compound,"['বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া']","['বিপদ', 'ও', 'দুঃখ', 'একসঙ্গে', 'আসে']"
মেঘ ডাকবে এবং কৈ মাছে উঠবে,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['মেঘ', 'ডাকবে', 'এবং', 'কৈ', 'মাছে', 'উঠবে']"
মেঘ ডাকলে ময়ুর নাচে,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['মেঘ', 'ডাকলে', 'ময়ুর', 'নাচে']"
নিয়মিত সাঁতার কাটলে স্বাস্থ্য ভালাে থাকবে,Simple,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['নিয়মিত', 'সাঁতার', 'কাটলে', 'স্বাস্থ্য', 'ভালাে', 'থাকবে']"
পড়েছে বলেই ফেল করেছে,Simple,"['ক্রিয়া', 'অব্যয়', 'ক্রিয়া', 'ক্রিয়া']","['পড়েছে', 'বলেই', 'ফেল', 'করেছে']"
সত্য কথা না বলার কারনে বিপদে পড়েছি,Simple,"['বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['সত্য', 'কথা', 'না', 'বলার', 'কারনে', 'বিপদে', 'পড়েছি']"
রাত হলে আলো জ্বলবে,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['রাত', 'হলে', 'আলো', 'জ্বলবে']"
মেঘ ডাকবে এবং ময়ুর নাচবে,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['মেঘ', 'ডাকবে', 'এবং', 'ময়ুর', 'নাচবে']"
"নিয়মিত সাঁতার কাটো, স্বাস্থ্য ভালাে থাকবে",Compound,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['নিয়মিত', 'সাঁতার', 'কাটো', 'স্বাস্থ্য', 'ভালাে', 'থাকবে']"
পড়েছে তাই ফেল করেছে,Compound,"['ক্রিয়া', 'অব্যয়', 'ক্রিয়া', 'ক্রিয়া']","['পড়েছে', 'তাই', 'ফেল', 'করেছে']"
সত্য কথা বলিনি তথাপি বিপদে পড়েছি,Compound,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['সত্য', 'কথা', 'বলিনি', 'তথাপি', 'বিপদে', 'পড়েছি']"
রাত হবে এবং এলো জ্বলবে,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['রাত', 'হবে', 'এবং', 'এলো', 'জ্বলবে']"
যখন মেঘ ডাকবে তখন ময়ুর নাচবে,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'মেঘ', 'ডাকবে', 'তখন', 'ময়ুর', 'নাচবে']"
"যদি নিয়মিত সাঁতার কাটো, তবে স্বাস্থ্য ভালাে থাকবে",Complex,"['অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['যদি', 'নিয়মিত', 'সাঁতার', 'কাটো', 'তবে', 'স্বাস্থ্য', 'ভালাে', 'থাকবে']"
যে পড়েছে সে ফেল করেছে,Complex,"['সর্বনাম', 'ক্রিয়া', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['যে', 'পড়েছে', 'সে', 'ফেল', 'করেছে']"
যেহেতু সত্য বলিনি সেহেতু বিপদে পড়েছি,Complex,"['অব্যয়', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['যেহেতু', 'সত্য', 'বলিনি', 'সেহেতু', 'বিপদে', 'পড়েছি']"
যখন রাত হবে তখন আলো জ্বলবে,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'রাত', 'হবে', 'তখন', 'আলো', 'জ্বলবে']"
অসুস্থতা অবস্থায় সে স্কুলে গেল,Simple,"['বিশেষ্য', 'বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['অসুস্থতা', 'অবস্থায়', 'সে', 'স্কুলে', 'গেল']"
ভোরে উঠে ভ্রমন করবে,Simple,"['অব্যয়', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['ভোরে', 'উঠে', 'ভ্রমন', 'করবে']"
বয়সে ছোট হলেও তার বুদ্ধি প্রখর,Simple,"['বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ']","['বয়সে', 'ছোট', 'হলেও', 'তার', 'বুদ্ধি', 'প্রখর']"
টিভি দেখলেও বেশিক্ষণ দেখবে না,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়']","['টিভি', 'দেখলেও', 'বেশিক্ষণ', 'দেখবে', 'না']"
বাড়ি গিয়েই ভাত খাব,Simple,"['বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['বাড়ি', 'গিয়েই', 'ভাত', 'খাব']"
অসুস্থ কিন্তু সে স্কুলে গেল,Compound,"['বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['অসুস্থ', 'কিন্তু', 'সে', 'স্কুলে', 'গেল']"
